log_path,dataset,seed,n_hid,n_layers,s_layers,lr,difflr,reg,steps,noise_schedule,noise_scale,noise_min,noise_max,reweight,sampling_steps,sampling_noise,eval_only,checkpoint,save_name,model_dir,topk,best_recall,best_ndcg,avg_train_time_s,n_train_epochs_timed,avg_test_time_s,n_test_calls_timed
History\epinions\sensitivity\s_layers\2\sens_s_layers_2.console.log,epinions,2023,64,2,2,0.001,0.001,0.0001,200,linear-var,0.1,0.0001,0.01,True,0,False,False,./Model/epinions/_tem_.pth,sens_s_layers_2,Model/epinions/sensitivity/s_layers/2/,20,0.045153,0.033731,8.9365,150,57.9770,30
History\epinions\sensitivity\s_layers\3\sens_s_layers_3.console.log,epinions,2023,64,2,3,0.001,0.001,0.0001,200,linear-var,0.1,0.0001,0.01,True,0,False,False,./Model/epinions/_tem_.pth,sens_s_layers_3,Model/epinions/sensitivity/s_layers/3/,20,0.045728,0.033336,7.2150,150,64.3859,30
History\epinions\sensitivity\steps\100\sens_steps_100.console.log,epinions,2023,64,2,2,0.001,0.001,0.0001,100,linear-var,0.1,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,sens_steps_100,Model/epinions/sensitivity/steps/100/,20,0.045626,0.033418,9.1033,150,54.7958,30
History\epinions\sensitivity\steps\10\sens_steps_10.console.log,epinions,2023,64,2,2,0.001,0.001,0.0001,10,linear-var,0.1,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,sens_steps_10,Model/epinions/sensitivity/steps/10/,20,0.042580,0.031729,7.8507,150,54.1521,30
History\epinions\sensitivity\steps\200\sens_steps_200.console.log,epinions,2023,64,2,2,0.001,0.001,0.0001,200,linear-var,0.1,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,sens_steps_200,Model/epinions/sensitivity/steps/200/,20,0.045268,0.033825,9.0184,150,57.1404,30
History\epinions\sensitivity\steps\50\sens_steps_50.console.log,epinions,2023,64,2,2,0.001,0.001,0.0001,50,linear-var,0.1,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,sens_steps_50,Model/epinions/sensitivity/steps/50/,20,0.044319,0.032779,9.0443,150,54.2842,30
History\yelp\ablation\no_diffusion\ablation_no_diffusion.console.log,yelp,2023,64,2,2,0.001,0.0001,0.005,50,linear-var,0.1,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,ablation_no_diffusion,Model/yelp/ablation/no_diffusion/,20,0.060247,0.030848,7.1934,150,120.5467,30
History\yelp\ablation\no_reweight\ablation_no_reweight.console.log,yelp,2023,64,2,2,0.001,0.0001,0.005,50,linear-var,0.1,0.0001,0.01,False,0,False,,./Model/epinions/_tem_.pth,ablation_no_reweight,Model/yelp/ablation/no_reweight/,20,0.058997,0.030237,11.7574,150,121.4064,30
History\yelp\ablation\no_social\ablation_no_social.console.log,yelp,2023,64,2,0,0.001,0.0001,0.005,50,linear-var,0.1,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,ablation_no_social,./Model/yelp/,20,0.052990,0.026843,6.4259,150,129.2289,30
History\yelp\efficiency\n_hid_128\eff_n_hid_128.console.log,yelp,2023,128,2,2,0.001,0.0001,0.005,50,linear-var,0.1,0.0001,0.01,True,0,False,False,./Model/epinions/_tem_.pth,eff_n_hid_128,Model/yelp/efficiency/n_hid_128/,20,0.042604,0.022215,12.8912,5,132.7860,1
